"GameId","WeekNumber","Team","PointsFor","PointsAgainst","CumPointsFor","CumPointsAgainst","PyExp","HomeWin","HomeTie","HomeLoss","tempPlayed","CumWins","CumLosses","CumTies","WinPct"
2015013,1,"SSK",26,30,26,30,0.416016210077024,0,0,1,1,0,1,0,0
2015017,2,"SSK",40,42,66,72,0.448627682748983,0,0,1,2,0,2,0,0
2015020,3,"SSK",32,35,98,107,0.448129438403789,0,0,1,3,0,3,0,0
2015024,4,"SSK",24,27,122,134,0.444640280581068,0,0,1,4,0,4,0,0
2015029,5,"SSK",21,31,143,165,0.416016210077024,0,0,1,5,0,5,0,0
2015031,6,"SSK",5,30,148,195,0.342175173642876,0,0,1,6,0,6,0,0
2015036,7,"SSK",26,30,174,225,0.352242418994615,0,0,1,7,0,7,0,0
2015044,9,"SSK",31,34,205,259,0.364902379521361,0,0,1,8,0,8,0,0
2015049,10,"SSK",13,35,218,294,0.32985725320412,0,0,1,9,0,9,0,0
2015051,11,"SSK",37,19,255,313,0.380905418455039,1,0,0,10,1,9,0,0.1
2015055,12,"SSK",7,22,262,335,0.358354583712672,0,0,1,11,1,10,0,0.0909090909090909
2015060,13,"SSK",27,30,289,365,0.365093217581854,0,0,1,12,1,11,0,0.0833333333333333
2015065,14,"SSK",33,21,322,386,0.39421053169215,1,0,0,13,2,11,0,0.153846153846154
2015069,15,"SSK",20,46,342,432,0.365014010451853,0,0,1,14,2,12,0,0.142857142857143
2015071,16,"SSK",15,30,357,462,0.351818578232739,0,0,1,15,2,13,0,0.133333333333333
2015082,18,"SSK",24,35,381,497,0.347527806421959,0,0,1,16,2,14,0,0.125
2015084,19,"SSK",19,42,400,539,0.33029415855066,0,0,1,17,2,15,0,0.117647058823529
2015090,20,"SSK",30,24,430,563,0.34554006406132,1,0,0,18,3,15,0,0.166666666666667
2015013,1,"WPG",30,26,30,26,0.583983789922976,1,0,0,1,1,0,0,1
2015014,2,"WPG",26,52,56,78,0.313175210174501,0,0,1,2,1,1,0,0.5
2015019,3,"WPG",25,23,81,101,0.37215307426333,1,0,0,3,2,1,0,0.666666666666667
2015025,4,"WPG",25,26,106,127,0.39451497265701,0,0,1,4,2,2,0,0.5
2015028,5,"WPG",3,32,109,159,0.290118523913026,0,0,1,5,2,3,0,0.4
2015030,6,"WPG",23,13,132,172,0.348118160593969,1,0,0,6,3,3,0,0.5
2015037,7,"WPG",8,38,140,210,0.276687567824497,0,0,1,7,3,4,0,0.428571428571429
2015039,8,"WPG",20,27,160,237,0.282693370344048,0,0,1,8,3,5,0,0.375
2015048,10,"WPG",8,36,168,273,0.240369734577745,0,0,1,9,3,6,0,0.333333333333333
2015051,11,"WPG",19,37,187,310,0.231840292625493,0,0,1,10,3,7,0,0.3
2015055,12,"WPG",22,7,209,317,0.271452624382926,1,0,0,11,4,7,0,0.363636363636364
2015061,13,"WPG",14,35,223,352,0.253163873002176,0,0,1,12,4,8,0,0.333333333333333
2015062,14,"WPG",23,25,246,377,0.266630599480316,0,0,1,13,4,9,0,0.307692307692308
2015068,15,"WPG",23,24,269,401,0.279645119129365,0,0,1,14,4,10,0,0.285714285714286
2015073,16,"WPG",29,26,298,427,0.298915698828001,1,0,0,15,5,10,0,0.333333333333333
2015075,17,"WPG",24,27,322,454,0.306995543987668,0,0,1,16,5,11,0,0.3125
2015081,18,"WPG",20,27,342,481,0.308252024280634,0,0,1,17,5,12,0,0.294117647058824
2015087,20,"WPG",11,21,353,502,0.302683226201153,0,0,1,18,5,13,0,0.277777777777778
2015010,1,"ORB",20,17,20,17,0.595119403385975,1,0,0,1,1,0,0,1
2015016,2,"ORB",27,16,47,33,0.698070571927565,1,0,0,2,2,0,0,1
2015018,3,"ORB",17,46,64,79,0.377766650803763,0,0,1,3,2,1,0,0.666666666666667
2015023,4,"ORB",12,23,76,102,0.332400572040745,0,0,1,4,2,2,0,0.5
2015026,5,"ORB",29,26,105,128,0.384752182758664,1,0,0,5,3,2,0,0.6
2015035,7,"ORB",26,23,131,151,0.416602666526139,1,0,0,6,4,2,0,0.666666666666667
2015041,8,"ORB",3,48,134,199,0.281455737851598,0,0,1,7,4,3,0,0.571428571428571
2015045,9,"ORB",24,30,158,229,0.293266702683452,0,0,1,8,4,4,0,0.5
2015049,10,"ORB",35,13,193,242,0.369070449445161,1,0,0,9,5,4,0,0.555555555555556
2015057,12,"ORB",31,18,224,260,0.412603173849374,1,0,0,10,6,4,0,0.6
2015060,13,"ORB",30,27,254,287,0.428128571763573,1,0,0,11,7,4,0,0.636363636363636
2015064,14,"ORB",26,35,280,322,0.417939963563637,0,0,1,12,7,5,0,0.583333333333333
2015066,15,"ORB",39,17,319,339,0.464032895725563,1,0,0,13,8,5,0,0.615384615384615
2015070,16,"ORB",35,38,354,377,0.462772169825275,0,0,1,14,8,6,0,0.571428571428571
2015075,17,"ORB",27,24,381,401,0.469723570052015,1,0,0,15,9,6,0,0.6
2015081,18,"ORB",27,20,408,421,0.481424400048397,1,0,0,16,10,6,0,0.625
2015085,19,"ORB",12,6,420,427,0.490207640871753,1,0,0,17,11,6,0,0.647058823529412
2015088,20,"ORB",44,28,464,455,0.511603292824795,1,0,0,18,12,6,0,0.666666666666667
2015012,1,"EDM",11,26,11,26,0.11520151711194,0,0,1,1,0,1,0,0
2015018,3,"EDM",46,17,57,43,0.661052320054285,1,0,0,2,1,1,0,0.5
2015023,4,"EDM",23,12,80,55,0.70848211888381,1,0,0,3,2,1,0,0.666666666666667
2015028,5,"EDM",32,3,112,58,0.826294855815496,1,0,0,4,3,1,0,0.75
2015031,6,"EDM",30,5,142,63,0.872814991558003,1,0,0,5,4,1,0,0.8
2015034,7,"EDM",23,26,165,89,0.811994534785075,0,0,1,6,4,2,0,0.666666666666667
2015038,8,"EDM",15,12,180,101,0.797294851882693,1,0,0,7,5,2,0,0.714285714285714
2015043,9,"EDM",20,49,200,150,0.66414177276322,0,0,1,8,5,3,0,0.625
2015047,10,"EDM",38,15,238,165,0.70436908577389,1,0,0,9,6,3,0,0.666666666666667
2015053,11,"EDM",7,16,245,181,0.672065958903135,0,0,1,10,6,4,0,0.6
2015056,12,"EDM",27,16,272,197,0.68234251888808,1,0,0,11,7,4,0,0.636363636363636
2015059,13,"EDM",25,18,297,215,0.682597143133322,1,0,0,12,8,4,0,0.666666666666667
2015063,14,"EDM",29,23,326,238,0.678233456466949,1,0,0,13,9,4,0,0.692307692307692
2015068,15,"EDM",24,23,350,261,0.667164487233403,1,0,0,14,10,4,0,0.714285714285714
2015072,16,"EDM",15,11,365,272,0.667523592353783,1,0,0,15,11,4,0,0.733333333333333
2015077,17,"EDM",26,23,391,295,0.660989152288869,1,0,0,16,12,4,0,0.75
2015082,18,"EDM",35,24,426,319,0.664969218081662,1,0,0,17,13,4,0,0.764705882352941
2015086,19,"EDM",40,22,466,341,0.677030510854126,1,0,0,18,14,4,0,0.777777777777778
2015016,2,"BC",16,27,16,27,0.224418910341966,0,0,1,1,0,1,0,0
2015020,3,"BC",35,32,51,59,0.414513643103461,1,0,0,2,1,1,0,0.5
2015024,4,"BC",27,24,78,83,0.463253294698606,1,0,0,3,2,1,0,0.666666666666667
2015027,5,"BC",27,30,105,113,0.456603687613525,0,0,1,4,2,2,0,0.5
2015030,6,"BC",13,23,118,136,0.41666732714851,0,0,1,5,2,3,0,0.4
2015034,7,"BC",26,23,144,159,0.441556999485576,1,0,0,6,3,3,0,0.5
2015040,8,"BC",22,52,166,211,0.361584695014895,0,0,1,7,3,4,0,0.428571428571429
2015042,9,"BC",13,23,179,234,0.346376155943961,0,0,1,8,3,5,0,0.375
2015050,11,"BC",25,16,204,250,0.381799322239784,1,0,0,9,4,5,0,0.444444444444444
2015057,12,"BC",18,31,222,281,0.363881831067666,0,0,1,10,4,6,0,0.4
2015058,13,"BC",23,35,245,316,0.353628591799384,0,0,1,11,4,7,0,0.363636363636364
2015063,14,"BC",23,29,268,345,0.354672954750453,0,0,1,12,4,8,0,0.333333333333333
2015069,15,"BC",46,20,314,365,0.411759762910476,1,0,0,13,5,8,0,0.384615384615385
2015073,16,"BC",26,29,340,394,0.41353992198022,0,0,1,14,5,9,0,0.357142857142857
2015077,17,"BC",23,26,363,420,0.414433082292477,0,0,1,15,5,10,0,0.333333333333333
2015080,18,"BC",40,13,403,433,0.45756017200429,1,0,0,16,6,10,0,0.375
2015083,19,"BC",27,25,430,458,0.462692213599424,1,0,0,17,7,10,0,0.411764705882353
2015089,20,"BC",7,28,437,486,0.437362601309333,0,0,1,18,7,11,0,0.388888888888889
2015011,1,"HAM",23,24,23,24,0.474804786193807,0,0,1,1,0,1,0,0
2015014,2,"HAM",52,26,75,50,0.723312432175503,1,0,0,2,1,1,0,0.5
2015022,4,"HAM",13,17,88,67,0.656146127672439,0,0,1,3,1,2,0,0.333333333333333
2015029,5,"HAM",31,21,119,88,0.671556743766035,1,0,0,4,2,2,0,0.5
2015033,6,"HAM",34,18,153,106,0.704701421113493,1,0,0,5,3,2,0,0.6
2015037,7,"HAM",38,8,191,114,0.772608227924503,1,0,0,6,4,2,0,0.666666666666667
2015040,8,"HAM",52,22,243,136,0.798277540371857,1,0,0,7,5,2,0,0.714285714285714
2015043,9,"HAM",49,20,292,156,0.815439178763213,1,0,0,8,6,2,0,0.75
2015046,10,"HAM",23,26,315,182,0.785852032122978,0,0,1,9,6,3,0,0.666666666666667
2015052,11,"HAM",42,12,357,194,0.809291017927811,1,0,0,10,7,3,0,0.7
2015054,12,"HAM",35,27,392,221,0.795474309295424,1,0,0,11,8,3,0,0.727272727272727
2015059,13,"HAM",18,25,410,246,0.77041512892944,0,0,1,12,8,4,0,0.666666666666667
2015067,15,"HAM",20,23,430,269,0.752446834811968,0,0,1,13,8,5,0,0.615384615384615
2015071,16,"HAM",30,15,460,284,0.758218620754175,1,0,0,14,9,5,0,0.642857142857143
2015078,17,"HAM",23,11,483,295,0.762875201161043,1,0,0,15,10,5,0,0.666666666666667
2015080,18,"HAM",13,40,496,335,0.717094677400008,0,0,1,16,10,6,0,0.625
2015085,19,"HAM",6,12,502,347,0.705822934459638,0,0,1,17,10,7,0,0.588235294117647
2015088,20,"HAM",28,44,530,391,0.672801119283819,0,0,1,18,10,8,0,0.555555555555556
